UNIQUE CODE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS,18  -  20,21  -  29,30  -  39,40  -  49,50  -  59,60  -  69,70  -  79,80  -  89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
P.078,P.078,CAMERON HIGHLANDS,46930,3366,10330,10650,8024,6157,4677,2580,892,254,23743,23187
P.079,P.079,LIPIS,47416,2749,9824,11425,7888,6236,5388,2661,1007,238,24046,23370
P.080,P.080,RAUB,75216,3790,13662,17333,13188,10613,9374,5092,1825,339,38057,37159
P.081,P.081,JERANTUT,88235,5594,17736,21488,17479,11261,7757,5305,1423,192,44179,44056
P.082,P.082,INDERA MAHKOTA,125226,10213,31725,29242,20804,15228,11911,4785,1127,191,62634,62592
P.083,P.083,KUANTAN,89217,5577,18803,19605,14566,12555,10628,5486,1644,353,44966,44251
P.084,P.084,PAYA BESAR,81846,5845,18052,19903,14599,10227,8058,3971,1053,138,40535,41311
P.085,P.085,PEKAN,124086,8741,28512,33112,23111,14004,10506,4678,1153,269,63376,60710
P.086,P.086,MARAN,53723,3367,10205,12261,10787,8161,4419,3209,1170,144,26837,26886
P.087,P.087,KUALA KRAU,61137,3695,11315,15398,13195,7295,5182,4124,823,110,30172,30965
P.088,P.088,TEMERLOH,108909,6949,24556,26654,18509,13941,11141,5289,1554,316,54673,54236
P.089,P.089,BENTONG,87674,4594,16159,19222,16012,12917,10483,5930,2050,307,44696,42978
P.090,P.090,BERA,76956,4387,14605,19164,15146,10001,7491,4718,1276,168,39042,37914
P.091,P.091,ROMPIN,90923,5906,19362,25508,16963,9099,8944,4354,660,127,45224,45699
