UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,TOTAL ELECTORS (AUGUST 2025),ELECTORS - ORDINARY VOTERS,ELECTORS - MILITARY,ELECTORS - POLICE,18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
P. 001,PERLIS,P. 001,PADANG BESAR,61175,59388,1416,371,3504,11985,14970,11026,7586,6452,4137,1278,237,30622,30553
P. 002,PERLIS,P. 002,KANGAR,76491,75430,0,1061,4445,15200,17623,13484,9713,8901,5268,1550,307,37875,38616
P. 003,PERLIS,P. 003,ARAU,61697,61331,78,288,3584,11828,13356,11020,8907,7335,4111,1325,231,30076,31621
P. 004,KEDAH,P. 004,LANGKAWI,70541,69307,301,933,5370,17479,16433,12251,9564,5931,2665,718,130,35825,34716
P. 005,KEDAH,P. 005,JERLUN,68236,68210,0,26,3679,12496,14396,12579,10359,8136,4827,1556,208,33530,34706
P. 006,KEDAH,P. 006,KUBANG PASU,112876,110412,1648,816,8037,25782,26556,19112,13822,11376,6230,1716,245,56063,56813
P. 007,KEDAH,P. 007,PADANG TERAP,61463,61214,0,249,3623,12535,14396,11366,8608,6403,3260,1124,148,30129,31334
P. 008,KEDAH,P. 008,POKOK SENA,117008,114671,1524,813,6376,22814,26902,21111,15744,13324,7755,2593,389,57897,59111
P. 009,KEDAH,P. 009,ALOR SETAR,106387,105711,0,676,5123,18825,22897,18995,14517,13916,8729,2698,687,52026,54361
P. 010,KEDAH,P. 010,KUALA KEDAH,135038,134961,0,77,7790,26858,29855,25014,18518,15435,8704,2463,401,66155,68883
P. 011,KEDAH,P. 011,PENDANG,96493,96241,0,252,5705,18773,21073,17603,14333,10854,5894,1950,308,46918,49575
P. 012,KEDAH,P. 012,JERAI,107007,106746,36,225,6348,21634,22693,18935,16175,11986,6705,2102,429,52666,54341
P. 013,KEDAH,P. 013,SIK,64355,64142,0,213,3796,12780,14742,12200,9401,6442,3697,1109,188,31774,32581
P. 014,KEDAH,P. 014,MERBOK,138671,134330,3773,568,9730,33012,31530,24017,18075,13538,6842,1586,341,68671,70000
P. 015,KEDAH,P. 015,SUNGAI PETANI,176094,175899,0,195,12079,40259,37942,29016,24436,19555,9553,2628,626,86197,89897
P. 016,KEDAH,P. 016,BALING,134659,134350,0,309,7859,27669,30452,24660,19626,14173,7423,2301,496,65813,68846
P. 017,KEDAH,P. 017,PADANG SERAI,141516,141438,0,78,11804,36764,29621,22589,19142,13500,6067,1666,363,69445,72071
P. 018,KEDAH,P. 018,KULIM-BANDAR BAHARU,91472,90051,0,1421,5327,18716,20353,16273,13121,10367,5329,1618,368,45187,46285
P. 019,KELANTAN,P. 019,TUMPAT,153255,152812,0,443,10111,33063,37045,27296,20005,14645,7628,2656,806,76542,76713
P. 020,KELANTAN,P. 020,PENGKALAN CHEPA,111084,108696,1248,1140,7895,26585,28923,19805,13013,9117,4365,1151,230,55053,56031
P. 021,KELANTAN,P. 021,KOTA BHARU,116725,115876,0,849,6174,21723,28079,21246,15653,13537,7554,2218,541,57546,59179
P. 022,KELANTAN,P. 022,PASIR MAS,96347,96238,0,109,6126,20143,22863,17420,12679,9430,5219,1877,590,47473,48874
P. 023,KELANTAN,P. 023,RANTAU PANJANG,95893,95484,37,372,6280,20954,22622,16427,12748,9464,5053,1778,567,48137,47756
P. 024,KELANTAN,P. 024,KUBANG KERIAN,117944,117845,0,99,8403,27518,29830,20288,13980,10767,5296,1576,286,57874,60070
P. 025,KELANTAN,P. 025,BACHOK,127271,127046,0,225,8859,28419,31937,23400,16261,10896,5620,1607,272,62177,65094
P. 026,KELANTAN,P. 026,KETEREH,87846,85196,2600,50,5759,19437,21883,15948,11293,8214,3960,1171,181,43693,44153
P. 027,KELANTAN,P. 027,TANAH MERAH,101450,101203,0,247,6581,21585,25442,19040,13122,9604,4687,1192,197,49946,51504
P. 028,KELANTAN,P. 028,PASIR PUTEH,115250,115023,0,227,7882,25551,28464,20886,14874,10316,5300,1714,263,55931,59319
P. 029,KELANTAN,P. 029,MACHANG,89955,89740,5,210,5548,18959,22530,16320,11709,8859,4386,1394,250,44205,45750
P. 030,KELANTAN,P. 030,JELI,60386,58804,1331,251,3800,12978,15349,10945,8040,5464,2705,873,232,30395,29991
P. 031,KELANTAN,P. 031,KUALA KRAI,94052,93749,0,303,6121,20730,24212,17366,11411,8554,4186,1234,238,46969,47083
P. 032,KELANTAN,P. 032,GUA MUSANG,73531,73277,0,254,5556,18119,20368,12739,7253,5879,2990,558,69,37352,36179
P. 033,TERENGGANU,P. 033,BESUT,116606,115009,1234,363,8101,26551,30496,21260,14362,9762,4635,1251,188,58059,58547
P. 034,TERENGGANU,P. 034,SETIU,112064,111795,6,263,7634,24875,29259,21447,13776,9372,4316,1203,182,55589,56475
P. 035,TERENGGANU,P. 035,KUALA NERUS,111037,109617,720,700,7786,25265,29290,20485,13212,9534,4243,1107,115,55461,55576
P. 036,TERENGGANU,P. 036,KUALA TERENGGANU,125660,124335,17,1308,6801,23177,30807,24346,17049,14047,6936,2143,354,62375,63285
P. 037,TERENGGANU,P. 037,MARANG,138086,137367,183,536,9576,30957,35668,25257,17251,12207,5410,1577,183,68633,69453
P. 038,TERENGGANU,P. 038,HULU TERENGGANU,90920,90661,0,259,5505,18145,23808,18195,11118,8511,4145,1306,187,45114,45806
P. 039,TERENGGANU,P. 039,DUNGUN,121177,120570,26,581,8759,27463,30704,22678,14975,10646,4615,1147,190,60683,60494
P. 040,TERENGGANU,P. 040,KEMAMAN,146872,146503,9,360,10785,33225,36219,27637,18458,13366,5632,1348,202,74120,72752
P. 041,PULAU PINANG,P. 041,KEPALA BATAS,87523,86925,0,598,6367,19730,18008,15183,13178,8767,4689,1411,190,43289,44234
P. 042,PULAU PINANG,P. 042,TASEK GELUGOR,83990,81731,2153,106,5370,17690,18620,15502,12058,8572,4626,1344,208,41469,42521
P. 043,PULAU PINANG,P. 043,BAGAN,90699,90533,0,166,3922,14178,15989,16558,15548,13397,8170,2415,522,44540,46159
P. 044,PULAU PINANG,P. 044,PERMATANG PAUH,110759,109984,0,775,6459,21921,23324,20117,16989,13171,6896,1622,260,54515,56244
P. 045,PULAU PINANG,P. 045,BUKIT MERTAJAM,124594,124545,0,49,6630,23637,24879,22146,18881,15746,9467,2745,463,60875,63719
P. 046,PULAU PINANG,P. 046,BATU KAWAN,92017,91807,0,210,5223,18224,18090,16514,14589,11178,6111,1730,358,45092,46925
P. 047,PULAU PINANG,P. 047,NIBONG TEBAL,105027,104487,0,540,6948,22715,21944,18784,15919,11032,5820,1597,268,51136,53891
P. 048,PULAU PINANG,P. 048,BUKIT BENDERA,92112,91122,449,541,3188,11530,14649,14907,15764,15368,10998,4588,1120,43450,48662
P. 049,PULAU PINANG,P. 049,TANJONG,50511,49567,9,935,941,3894,6092,7148,9046,11222,7987,2656,1525,25517,24994
P. 050,PULAU PINANG,P. 050,JELUTONG,94607,93611,0,996,3831,13429,17244,16883,15258,14845,9464,2939,714,45481,49126
P. 051,PULAU PINANG,P. 051,BUKIT GELUGOR,118387,118289,17,81,5084,18566,22492,21946,19098,16365,10464,3660,712,56488,61899
P. 052,PULAU PINANG,P. 052,BAYAN BARU,123297,121413,1547,337,6209,21823,25920,22864,18950,15846,8882,2418,385,59824,63473
P. 053,PULAU PINANG,P. 053,BALIK PULAU,84754,83989,0,765,5527,17611,17663,14670,12878,9909,4803,1414,279,42211,42543
P. 054,PERAK,P. 054,GERIK,48600,46308,1323,969,3249,10998,12101,8552,5871,4666,2302,712,149,25367,23233
P. 055,PERAK,P. 055,LENGGONG,37330,37281,0,49,1993,6656,8952,7175,4886,4172,2529,779,188,18445,18885
