STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,TOTAL ELECTORS (MAY 2025),18 - 20,21 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 AND ABOVE,MALE ELECTORS,FEMALE ELECTORS
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/01,ULU TIRAM BARAT,6006,551,1434,1269,1065,818,492,286,66,25,2915,3091
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/02,BANDAR ULU TIRAM BARAT,7667,933,2130,1417,1700,901,414,138,29,5,3806,3861
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/03,BANDAR ULU TIRAM TENGAH,576,4,14,22,28,88,187,168,54,11,288,288
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/04,BANDAR ULU TIRAM UTARA,2163,69,347,458,424,377,284,156,37,11,1154,1009
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/05,BANDAR ULU TIRAM SELATAN,4254,107,495,595,670,893,792,505,153,44,2168,2086
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/06,ARA CEMERLANG,2727,119,513,661,429,503,372,97,28,5,1291,1436
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/07,ULU TIRAM TIMOR,4910,317,891,977,916,828,570,308,78,25,2499,2411
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/08,NAM HENG,988,34,197,236,129,144,130,76,24,18,505,483
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/09,SUNGAI TIRAM,6226,525,1527,1721,980,670,501,219,52,31,3145,3081
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/10,KONG KONG,1303,56,214,264,230,229,177,99,23,11,678,625
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/11,KAMPUNG CAHAYA BARU,4334,241,885,1149,700,647,510,122,60,20,2177,2157
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/12,KOTA MASAI,8818,818,2798,2004,1237,1428,449,66,18,0,4437,4381
JOHOR,P.158,TEBRAU,N.40,TIRAM,158/40/13,KOTA DELIMA,14909,2040,5647,2516,2196,1954,472,73,8,3,7481,7428
