POLLING DISTRICT CODE,POLLING DISTRICT NAME,DUN NAME,MALAY,CHINESE,INDIAN,ORANG ASLI,OTHERS,
085/23/01,TERPAI,CHINI,17.68%,0.20%,0.59%,69.35%,12.18%,
085/23/02,SALONG,CHINI,99.75%,0.00%,0.00%,0.00%,0.25%,
085/23/03,MAMBANG,CHINI,43.25%,1.33%,0.10%,51.74%,3.58%,
085/23/04,PALOH HINAI,CHINI,73.64%,0.73%,0.27%,22.82%,2.55%,
085/23/05,KAMPUNG DUSUN,CHINI,3.21%,3.06%,0.00%,91.55%,2.19%,
085/23/06,FELDA CHINI TIMUR 3 & 4,CHINI,99.28%,0.00%,0.48%,0.24%,0.00%,
085/23/07,FELDA CHINI TIMUR 1,CHINI,100.00%,0.00%,0.00%,0.00%,0.00%,
085/23/08,FELDA CHINI TIMUR 2,CHINI,100.00%,0.00%,0.00%,0.00%,0.00%,
085/23/09,FELDA CHINI 5,CHINI,100.00%,0.00%,0.00%,0.00%,0.00%,
085/23/10,FELDA CHINI 4,CHINI,99.92%,0.04%,0.04%,0.00%,0.00%,
085/23/11,FELDA CHINI 1,CHINI,99.96%,0.00%,0.00%,0.04%,0.00%,
085/23/12,FELDA CHINI 2,CHINI,99.86%,0.03%,0.03%,0.03%,0.03%,
085/23/13,FELDA CHINI 3,CHINI,99.96%,0.00%,0.00%,0.04%,0.00%,
