UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS (2020),SHARE FROM EQ (2020),MEDIAN HOUSEHOLD INCOME (RM) (2019),ABSOLUTE POVERTY (%) (2019),NEW SEAT (2019),URBAN-RURAL CLASSIFICATION (2020),ETHNIC MAJORITY (2020)
P.167_N.01,SABAH,P.167,KUDAT,N.01,BANGGI,"5,961",39,"3,966",61.7,,RURAL,MUSLIM BUMIPUTERA
P.167_N.02,SABAH,P.167,KUDAT,N.02,BENGKOKA,"11,543",75,"1,747",75.0,YES,RURAL,NON MUSLIM BUMIPUTERA
P.167_N.03,SABAH,P.167,KUDAT,N.03,PITAS,"10,928",71,"2,120",45.7,,RURAL,MUSLIM BUMIPUTERA
P.167_N.04,SABAH,P.167,KUDAT,N.04,TANJONG KAPOR,"23,700",154,"2,971",37.5,,URBAN,MUSLIM BUMIPUTERA
P.168_N.05,SABAH,P.168,KOTA MARUDU,N.05,MATUNGGONG,"17,111",111,"2,124",49.8,,RURAL,NON MUSLIM BUMIPUTERA
P.168_N.06,SABAH,P.168,KOTA MARUDU,N.06,BANDAU,"14,615",95,"2,328",49.9,YES,RURAL,NON MUSLIM BUMIPUTERA
P.168_N.07,SABAH,P.168,KOTA MARUDU,N.07,TANDEK,"15,971",104,"3,286",31.9,,RURAL,NON MUSLIM BUMIPUTERA
P.169_N.08,SABAH,P.169,KOTA BELUD,N.08,PINTASAN,"10,867",71,"1,973",53.3,YES,RURAL,MUSLIM BUMIPUTERA
P.169_N.09,SABAH,P.169,KOTA BELUD,N.09,TEMPASUK,"11,996",78,"3,316",19.4,,RURAL,MUSLIM BUMIPUTERA
P.169_N.10,SABAH,P.169,KOTA BELUD,N.10,USUKAN,"16,883",110,"3,779",32.7,,SEMI URBAN,MUSLIM BUMIPUTERA
P.169_N.11,SABAH,P.169,KOTA BELUD,N.11,KADAMAIAN,"17,968",117,"2,570",34.5,,RURAL,NON MUSLIM BUMIPUTERA
