Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,Kod Daerah Mengundi,Jenis Undi,Tempat Mengundi,Nama Daerah Mengundi,Saluran,Bilangan Undi dalam Peti Undi (A),Bilangan Pengundi untuk PRU13,Umur Median,Peratusan Keluar untuk Mengundi (%)
P001,PADANG BESAR,UNDI POS,UNDI POS,001/UNDI POS,POS,UNDI POS,UNDI POS,0,469,N/A,N/A,N/A
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/01/00,AWAL,DE-STRESS ROOM IPD PADANG BESAR,UNDI AWAL,1,379,395,40,96
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/02/00,AWAL,BILIK MESYUARAT JSJ IPD PADANG,UNDI AWAL,1,54,57,40,95
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/02/00,AWAL,DEWAN SYED FAIZUDDIN REJIMEN 504 (AW) KEM BUKIT KETRI,UNDI AWAL,1,313,346,35,90
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/02/00,AWAL,DEWAN SYED FAIZUDDIN REJIMEN 504 (AW) KEM BUKIT KETRI,UNDI AWAL,2,292,319,31,92
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/04/00,AWAL,PAVILLION IPD PADANG BESAR,UNDI AWAL,1,23,27,42,85
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/04/00,AWAL,DEWAN MAKAN KEM ORAN ,UNDI AWAL,1,442,473,32,93
P001,PADANG BESAR,UNDI AWAL,UNDI AWAL,001/04/00,AWAL,DEWAN MAKAN KEM ORAN ,UNDI AWAL,2,411,471,33,87
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/01,BIASA,SEK. MEN. KEB. RAJA PUAN MUDA TENGKU FAUZIAH,JALAN PADANG BESAR,1,294,350,70,84
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/01,BIASA,SEK. MEN. KEB. RAJA PUAN MUDA TENGKU FAUZIAH,JALAN PADANG BESAR,2,407,496,51,82
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/01,BIASA,SEK. MEN. KEB. RAJA PUAN MUDA TENGKU FAUZIAH,JALAN PADANG BESAR,3,363,492,33,74
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/02,BIASA,SEK. KEB. TITI TINGGI,TITI TINGGI,1,299,350,72,85
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/02,BIASA,SEK. KEB. TITI TINGGI,TITI TINGGI,2,534,593,53,90
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/02,BIASA,SEK. KEB. TITI TINGGI,TITI TINGGI,3,515,593,40,87
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/02,BIASA,SEK. KEB. TITI TINGGI,TITI TINGGI,4,477,591,28,81
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/03,BIASA,SEK. KEB. FELDA MATA AYER,FELDA MATA AYER,1,329,350,60,94
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/03,BIASA,SEK. KEB. FELDA MATA AYER,FELDA MATA AYER,2,538,636,34,85
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/04,BIASA,SEK. KEB. PADANG BESAR (U),KAMPONG KASTAM,1,258,343,60,75
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/04,BIASA,SEK. KEB. PADANG BESAR (U),KAMPONG KASTAM,2,259,343,35,76
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/05,BIASA,SEK. MEN. KEB. PADANG BESAR (U),PADANG BESAR,1,241,350,69,69
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/05,BIASA,SEK. MEN. KEB. PADANG BESAR (U),PADANG BESAR,2,521,684,51,76
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/05,BIASA,SEK. MEN. KEB. PADANG BESAR (U),PADANG BESAR,3,507,684,33,74
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/06,BIASA,SEK. KEB. FELDA RIMBA MAS,FELDA RIMBA MAS,1,321,350,59,92
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/06,BIASA,SEK. KEB. FELDA RIMBA MAS,FELDA RIMBA MAS,2,548,679,34,81
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/07,BIASA,SEK. KEB. LUBUK SIREH PADANG BESAR (U),LUBOK SIREH,1,295,350,54,84
P001,PADANG BESAR,N.01,TITI TINGGI,001/01/07,BIASA,SEK. KEB. LUBUK SIREH PADANG BESAR (U),LUBOK SIREH,2,429,529,30,81
P001,PADANG BESAR,N.02,BESERI,001/02/01,BIASA,SEK. JENIS KEB. (C) KONG HWA,PEKAN KAKI BUKIT,1,267,350,74,76
P001,PADANG BESAR,N.02,BESERI,001/02/01,BIASA,SEK. JENIS KEB. (C) KONG HWA,PEKAN KAKI BUKIT,2,399,537,53,74
P001,PADANG BESAR,N.02,BESERI,001/02/01,BIASA,SEK. JENIS KEB. (C) KONG HWA,PEKAN KAKI BUKIT,3,403,535,33,75
P001,PADANG BESAR,N.02,BESERI,001/02/02,BIASA,KEM TASOH PUSAT KO-KURIKULUM JABATAN PELAJARAN NEGERI PERLIS,TASOH,1,257,322,66,80
P001,PADANG BESAR,N.02,BESERI,001/02/02,BIASA,KEM TASOH PUSAT KO-KURIKULUM JABATAN PELAJARAN NEGERI PERLIS,TASOH,2,250,321,39,78
P001,PADANG BESAR,N.02,BESERI,001/02/03,BIASA,SEK. KEB. BUKIT KEDAK/GUAR JENTIK,GUAR JENTIK,1,296,350,68,85
P001,PADANG BESAR,N.02,BESERI,001/02/03,BIASA,SEK. KEB. BUKIT KEDAK/GUAR JENTIK,GUAR JENTIK,2,382,444,48,86
P001,PADANG BESAR,N.02,BESERI,001/02/03,BIASA,SEK. KEB. BUKIT KEDAK/GUAR JENTIK,GUAR JENTIK,3,352,443,30,79
P001,PADANG BESAR,N.02,BESERI,001/02/04,BIASA,SEK. KEB. BESERI,BESERI,1,296,350,70,85
P001,PADANG BESAR,N.02,BESERI,001/02/04,BIASA,SEK. KEB. BESERI,BESERI,2,500,562,53,89
P001,PADANG BESAR,N.02,BESERI,001/02/04,BIASA,SEK. KEB. BESERI,BESERI,3,474,562,39,84
P001,PADANG BESAR,N.02,BESERI,001/02/04,BIASA,SEK. KEB. BESERI,BESERI,4,450,563,27,80
P001,PADANG BESAR,N.02,BESERI,001/02/05,BIASA,SEK. MEN. KEB. TENGKU SULEIMAN,TUNJONG,1,319,350,66,91
P001,PADANG BESAR,N.02,BESERI,001/02/05,BIASA,SEK. MEN. KEB. TENGKU SULEIMAN,TUNJONG,2,499,595,51,84
P001,PADANG BESAR,N.02,BESERI,001/02/05,BIASA,SEK. MEN. KEB. TENGKU SULEIMAN,TUNJONG,3,474,595,36,80
P001,PADANG BESAR,N.02,BESERI,001/02/05,BIASA,SEK. MEN. KEB. TENGKU SULEIMAN,TUNJONG,4,474,594,26,80
P001,PADANG BESAR,N.03,CHUPING,001/03/01,BIASA,SEK. MEN. KEB. DATO' JAAFAR HASSAN,PANGGAS,1,301,350,74,86
P001,PADANG BESAR,N.03,CHUPING,001/03/01,BIASA,SEK. MEN. KEB. DATO' JAAFAR HASSAN,PANGGAS,2,538,599,58,90
P001,PADANG BESAR,N.03,CHUPING,001/03/01,BIASA,SEK. MEN. KEB. DATO' JAAFAR HASSAN,PANGGAS,3,526,599,46,88
P001,PADANG BESAR,N.03,CHUPING,001/03/01,BIASA,SEK. MEN. KEB. DATO' JAAFAR HASSAN,PANGGAS,4,501,599,36,84
