STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN (%),PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH (%),GS,GS CANDIDATE,GS CANDIDATE GENDER,GS CANDIDATE AGE,GS (%),OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE (%),OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE (%),OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE (%),OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE GENDER,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE (%),INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE (%),INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE (%),REJECTED VOTES (%),UNRETURNED BALLOTS (%)
PERLIS,P.001,PADANG BESAR,UMNO,DATUK ZAHIDI BIN ZAINUL ABIDIN,MALE,57,39.70,PPBM,IZIZAM BIN IBRAHIM,MALE,,17.73,PAS,USTAZ MOKHTAR SENIK,MALE,54,12.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.84,16.70
PERLIS,P.002,KANGAR,UMNO,RAMLI SHARIFF,MALE,,39.39,PKR,AMIN AHMAD,MALE,36,20.26,PAS,USTAZ ZAHID IBRAHIM,MALE,35,16.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18,16.27
PERLIS,P.003,ARAU,UMNO,SHAHIDAN BIN KASSIM,MALE,67,50.19,PPBM,DATO' DR. HAJI ABD RAHMAN BIN DAUD,MALE,,14.33,PAS,USTAZ HASHIM JASIN,MALE,79,18.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,12.92
KEDAH,P.004,LANGKAWI,UMNO,DATO' IR. NAWAWI BIN AHMAD,MALE,57,43.39,PPBM,DR MAHATHIR BIN MOHAMAD,MALE,93,28.96,PAS,ZUBIR BIN AHMAD,MALE,55,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82,7.98
KEDAH,P.005,JERLUN,UMNO,OTHMAN BIN AZIZ,MALE,59,24.32,PPBM,MUKHRIZ MAHATHIR,MALE,54,32.86,PAS,ABD. GHANI BIN AHMAD,MALE,48,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,16.76
KEDAH,P.006,KUBANG PASU,UMNO,DATO' SRI MOHD JOHARI BIN BAHARUM,MALE,,36.76,PPBM,DATO' AMIRUDDIN HAMZAH,MALE,56,31.14,PAS,NORHAFIZA BINTI FADZIL,FEMALE,42,16.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,10.80
KEDAH,P.007,PADANG TERAP,UMNO,DATO' SERI MAHDZIR KHALID,MALE,58,39.84,PAN,KHAIRIZAL KHAZALI,MALE,37,11.59,PAS,USTAZ AZAM BIN AZIZ,MALE,,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86,11.99
KEDAH,P.008,POKOK SENA,UMNO,DATO' SAID ALI BIN SYED RASTAN,MALE,,30.27,PAN,DATO' HJ MAHFUZ OMAR,MALE,61,23.58,PAS,RADHI MAT DIN,MALE,53,26.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63,13.72
KEDAH,P.009,ALOR SETAR,MCA,YOO WEI HOW,MALE,45,22.57,PKR,CHAN MING KAI,MALE,38,20.55,PAS,AMINUR SHAFIQ,MALE,28,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.17,16.71
KEDAH,P.010,KUALA KEDAH,UMNO,ABDULLAH HASNAN BIN KAMARUDDIN,MALE,,28.58,PKR,DR AZMAN ISMAIL,MALE,60,26.05,PAS,MUHAMAD RIDUAN BIN OTHMAN,MALE,43,23.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26,13.89
KEDAH,P.011,PENDANG,UMNO,OTHMAN BIN ABDUL,MALE,55,35.75,PPBM,WAN SAIFUL WAN JAN,MALE,43,13.67,PAS,HJ. AWANG SOLAHUDIN,MALE,,31.70,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,PENGHULU MALIK,MALE,,0.23,,,,,,6.19,12.45
KEDAH,P.012,JERAI,UMNO,DATO' SERI JAMIL KHIR BIN BAHAROM,MALE,57,36.69,PPBM,AKHRAMSYAH BIN SANUSI JUNID,MALE,,19.03,PAS,USTAZ SABRI BIN AZIT,MALE,52,27.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,11.16
KEDAH,P.013,SIK,UMNO,DR MANSOR BIN ABD RAHMAN,MALE,,35.85,PAN,AZLI CHE UDA,MALE,39,10.69,PAS,USTAZ TARMIZI SULAIMAN,MALE,42,35.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.23,10.69
KEDAH,P.014,MERBOK,UMNO,DATO' TAJUL URUS HJ. MAT ZAIN,MALE,66,35.66,PKR,NURIN AINA,FEMALE,42,20.12,PAS,USTAZ AHMAD FAUZI,MALE,,23.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.02,12.38
KEDAH,P.015,SUNGAI PETANI,UMNO,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,FEMALE,,31.75,PKR,DATO' JOHARI ABDUL,MALE,63,22.79,PAS,USTAZ SHARIR LONG,MALE,,23.84,PRM,P. SRITHARAN,MALE,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,20.84
KEDAH,P.016,BALING,UMNO,DATUK AZEEZ RAHIM,MALE,52,42.00,PPBM,MOHD TAUFIK BIN HJ YAACOB,MALE,,9.83,PAS,USTAZ HASSAN BIN SAAD,MALE,,26.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.31,12.27
KEDAH,P.017,PADANG SERAI,MCA,DATO' DR. LEONG YONG KONG,MALE,58,26.98,PKR,KARUPAIYA MUTUSAMI,MALE,65,17.36,PAS,MUHAMAD SOBRI BIN OSMAN,MALE,,30.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,20.09
KEDAH,P.018,KULIM-BANDAR BAHARU,UMNO,DATO' ABD AZIZ HJ. SHEIKH FADZIR,MALE,55,38.92,PKR,DATO' SAIFUDDIN NASUTION ISMAIL,MALE,55,18.70,PAS,USTAZ HASSAN RAZAK,MALE,67,23.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,12.47
KELANTAN,P.019,TUMPAT,UMNO,DATUK WAN,MALE,65,37.93,PPBM,DATUK NORDIN BIN SALLEH,MALE,75,2.43,PAS,DATO HJ CHE LAH MAT NAWI,MALE,56,22.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08,29.94
KELANTAN,P.020,PENGKALAN CHEPA,UMNO,DATUK ZALUZI,MALE,53,37.60,PAN,MEJAR MAT,MALE,65,3.55,PAS,USTAZ MARZUK SHAARY,MALE,43,20.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39,36.88
KELANTAN,P.021,KOTA BHARU,UMNO,FIKHRAN HAMSHI,MALE,32,31.29,PAN,HUSAM MUSA,MALE,59,8.52,PAS,DATO' TAKIYUDDIN,MALE,56,23.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,33.88
KELANTAN,P.022,PASIR MAS,UMNO,NOR AZMAWI @ BAWI,MALE,44,28.35,PPBM,CHE UJANG,MALE,,2.58,PAS,USTAZ FADHLI SHAARI,MALE,38,25.64,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CUP,DATO' DR. IBRAHIM BIN ALI,MALE,67,1.74,,,,,,7.67,34.02
KELANTAN,P.023,RANTAU PANJANG,UMNO,ABDULLAH BIN MAT YASIM,MALE,63,30.82,PAN,DR SHAH,MALE,46,3.59,PAS,KAK LAH,FEMALE,55,22.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,40.20
KELANTAN,P.024,KUBANG KERIAN,UMNO,DATO' SRI MUHAMMAD ABD GHANI,MALE,,33.96,PAN,DATO DR HALIM,MALE,58,6.04,PAS,USTAZ TUAN IBRAHIM,MALE,58,20.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,36.20
KELANTAN,P.025,BACHOK,UMNO,DATUK AWANG,MALE,63,42.48,PPBM,HJ ZUL,MALE,,1.97,PAS,USTAZ NIK ABDUH,MALE,48,14.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.01,35.68
KELANTAN,P.026,KETEREH,UMNO,TAN SRI ANNUAR MUSA,MALE,62,53.89,PPBM,DR RADZI JIDIN,MALE,41,3.26,PAS,USTAZ WAN,MALE,63,14.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,25.50
KELANTAN,P.027,TANAH MERAH,UMNO,DATO' SRI HJ IKMAL HISHAM BIN ABDUL AZIZ,MALE,53,42.68,PKR,DR FAUZI,MALE,57,1.82,PAS,DATO' DR JOHARI MAT,MALE,62,14.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,34.45
KELANTAN,P.028,PASIR PUTEH,UMNO,DR. ASYRAF WAJDI DUSUKI,MALE,42,41.34,PPBM,DATUK KAMARUDIN (ABE DIN),MALE,70,2.38,PAS,USTAZ DR. NIK ZAWAWI,MALE,51,17.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,34.52
KELANTAN,P.029,MACHANG,UMNO,DATUK JAZLAN,MALE,54,41.40,PPBM,DATO' SAZMI,MALE,54,2.64,PAS,ZULKIFLI MAMAT,MALE,,12.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47,36.20
KELANTAN,P.030,JELI,UMNO,DATO' PA,MALE,68,51.21,PPBM,AZRAN BIN DERAMAN,MALE,36,2.09,PAS,CIKGU MAT,MALE,,13.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,32.50
KELANTAN,P.031,KUALA KRAI,UMNO,DATO RAMZI,MALE,60,34.24,PAN,DR IR YAZID,MALE,61,3.65,PAS,USTAZ LATIFF,MALE,47,21.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59,35.68
KELANTAN,P.032,GUA MUSANG,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,81,32.20,PPBM,ABE NOR,MALE,,3.82,PAS,USTAZ ABDULLAH,MALE,,21.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,36.02
TERENGGANU,P.033,BESUT,UMNO,IDRIS JUSOH,MALE,63,50.25,PPBM,DATO' IR. HAJI WAN NAZARI,MALE,,3.26,PAS,DR USTAZ RIDUAN MOHAMAD NOR,MALE,47,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,26.23
TERENGGANU,P.034,SETIU,UMNO,DATO' HAJI MOHD JIDIN BIN SHAFEE,MALE,63,43.87,PPBM,DATO' DR MOHD FAUDZI BIN MUSA,MALE,,3.26,PAS,USTAZ ZUKIRNAIN AB KADIR,MALE,49,19.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,28.10
TERENGGANU,P.035,KUALA NERUS,UMNO,DR. TENGKU ASMADI,MALE,54,50.93,PAN,HAJI ABDULLAH,MALE,,3.20,PAS,USTAZ DATO' DR KHAIRUDDIN TAKIRI,MALE,45,23.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,20.58
TERENGGANU,P.036,KUALA TERENGGANU,UMNO,WAN NAWAWI BIN HAJI WAN ISMAIL,MALE,61,46.52,PAN,DATO RAJA BAHRIN,MALE,63,6.80,PAS,HAJI AMZAD HASHIM,MALE,48,23.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,22.33
TERENGGANU,P.037,MARANG,UMNO,MOHAMAD NOR BIN ENDOT,MALE,58,44.11,PAN,ZARAWI BIN SULONG,MALE,56,2.33,PAS,TUAN GURU HAJI ABDUL HADI AWANG,MALE,71,31.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,12.91
TERENGGANU,P.038,HULU TERENGGANU,UMNO,DATO' ROSOL BIN WAHID,MALE,54,56.18,PPBM,DATUK RAZALI IDRIS,MALE,52,4.10,PAS,HAJI MUHYIDIN ABDUL RASHID,MALE,,22.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,14.92
TERENGGANU,P.039,DUNGUN,UMNO,DATO DIN,MALE,57,39.68,PKR,HJ. ABD RAHMAN YUSOF,MALE,61,2.97,PAS,USTAZ WAN HASSAN MOHD RAMLI,MALE,61,21.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66,28.96
TERENGGANU,P.040,KEMAMAN,UMNO,AHMAD SHABERY CHEEK,MALE,60,44.13,PKR,MOHD. HUZAIFAH MD. SUHAIMI,MALE,,5.12,PAS,USTAZ ALIAS ABD HAMID,MALE,,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,29.95
PULAU PINANG,P.041,KEPALA BATAS,UMNO,DATO' SRI REEZAL MERICAN BIN NAINA MERICAN,MALE,45,48.60,PAN,DR. ZAIDI BIN ZAKARIA,MALE,48,16.23,PAS,SITI MASTURA BINTI MUHAMMAD,FEMALE,29,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,9.08
PULAU PINANG,P.042,TASEK GELUGOR,UMNO,DATUK SHABUDIN YAHAYA,MALE,52,41.69,PPBM,HJ MARZUKI BIN YAHYA,MALE,47,14.24,PAS,RIZAL HAFIZ BIN RUSLAN,MALE,42,23.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47,12.26
PULAU PINANG,P.043,BAGAN,MCA,LEE BENG SENG,MALE,37,36.07,DAP,LIM GUAN ENG,MALE,57,35.64,,,,,,MUP,KOAY XING BOON,MALE,36,0.22,PCM,HUAN CHENG GUAN @ MEJAR HUAN,MALE,57,3.02,,,,,,,,,,,,,,,,,,,,,6.48,18.57
