STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN VOTE (%),PH,PH CANDIDATE,PH CANDIDATE GENDER,PH CANDIDATE AGE,PH VOTE (%),PN,PN CANDIDATE,PN CANDIDATE GENDER,PN CANDIDATE AGE,PN VOTE (%),GTA,GTA CANDIDATE,GTA CANDIDATE GENDER,GTA CANDIDATE AGE,GTA VOTE (%),GPS,GPS CANDIDATE,GPS CANDIDATE GENDER,GPS CANDIDATE AGE,GPS VOTE (%),GRS,GRS CANDIDATE,GRS CANDIDATE GENDER,GRS CANDIDATE AGE,GRS VOTE (%),WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE GENDER,WARISAN CANDIDATE AGE,WARISAN VOTE (%),OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE (%),OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE (%),OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE GENDER,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE (%),INDEPENDENT 1,INDEPENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 VOTE (%),INDEPENDENT 2,INDEPENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 VOTE (%),INDEPENDENT 3,INDEPENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 VOTE (%),INDEPENDENT 4,INDEPENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 VOTE (%),REJECTED VOTES(%),UNRETURNED VOTES (%)
PERLIS,P.001,PADANG BESAR,"1,179",UMNO,ZAHIDA BINTI ZARIK KHAN,FEMALE,43,19.85,PAN,KAPT (B) HJ MOHAMAD YAHAYA,MALE,,9.67,PAS,RUSHDAN BIN RUSMI,MALE,44,54.28,,,,,,,,,,,,,,,,WARISAN,KO CHU LIANG,MALE,,0.25,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,ZAHIDI BIN ZAINUL ABIDIN,MALE,61,2.37,,,,,,,,,,,,,,,,7.63,5.94
PERLIS,P.002,KANGAR,1435,UMNO,DR FATHUL BAHRI,MALE,42,25.99,PKR,AMIN AHMAD,MALE,40,17.35,PPBM,CIKGU ZAKRI,MALE,,41.25,PEJUANG,USTAZ NUR SULAIMAN,MALE,34,1.60,,,,,,,,,,,WARISAN,PROF. DR. ROHIMI SHAPIEE,MALE,60,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,7.04
PERLIS,P.003,ARAU,1045,UMNO,ROZABIL @ TOK BEN,MALE,50,15.89,PKR,FATIN AMELINA,FEMALE,28,9.09,PN - DIRECT,SHAHIDAN KASSIM,MALE,71,62.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65,7.08
KEDAH,P.004,LANGKAWI,1048,UMNO,DATO' ARMISHAH SIRAJ (DAS),MALE,58,18.42,PAN,ZABIDI YAHYA,MALE,54,7.44,PPBM,MOHD SUHAIMI BIN ABDULLAH,MALE,64,49.43,PEJUANG,MAHATHIR BIN MOHAMAD,MALE,97,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - AIRPLANE,DATO PADUKA ABD KADIR,MALE,,0.38,,,,,,,,,,,,,,,,3.44,12.79
KEDAH,P.005,JERLUN,1150,UMNO,OTHMAN BIN AZIZ,MALE,63,17.57,PKR,DR. MOHAMED FADZIL MOHD ALI,MALE,48,6.17,PAS,DR. ABD GHANI AHMAD,MALE,52,57.39,PEJUANG,DATO' SERI UTAMA MUKHRIZ MAHATHIR,MALE,58,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,7.30
KEDAH,P.006,KUBANG PASU,3330,UMNO,HASMUNI BIN HASSAN (TOK MUNI),MALE,,19.04,PKR,AIZUDDIN ARIFFIN,MALE,35,8.95,PPBM,DATO' WIRA DR KU ABD RAHMAN BIN KU ISMAIL,MALE,70,55.32,PEJUANG,AMIRUDDIN HAMZAH (TOK MET),MALE,60,5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.32,7.27
KEDAH,P.007,PADANG TERAP,1303,UMNO,MAHDZIR BIN KHALID,MALE,62,25.48,PAN,MUAZ ABDULLAH,MALE,25,4.07,PAS,USTAZ NURUL AMIN,MALE,39,56.95,PEJUANG,RAZALI BIN LEBAI SALLEH,MALE,65,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.91,5.99
KEDAH,P.008,POKOK SENA,2851,UMNO,NORAN ZAMINI BIN JAMALUDDIN,MALE,48,14.80,PAN,DATO' WIRA HJ MAHFUZ OMAR,MALE,65,13.71,PAS,DATO' AHMAD YAHAYA,MALE,47,60.54,,,,,,,,,,,,,,,,WARISAN,NORAINI BINTI MD SALLEH,FEMALE,60,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,7.16
KEDAH,P.009,ALOR SETAR,2095,MCA,TAN CHEE HIONG,MALE,43,8.97,PKR,SIMON OOI TZE MIN,MALE,38,16.42,PAS,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,MALE,41,56.75,PEJUANG,NUHAIRI RAHMAT,MALE,45,3.48,,,,,,,,,,,WARISAN,FADZIL BIN HANAFI,MALE,64,0.14,,,,,,,,,,,,,,,,INDEPENDENT - PEN,SOFAN FEROZA,MALE,43,0.10,INDEPENDENT - TREE,DATO' DR NORDIN YUNUS,MALE,69,0.19,,,,,,,,,,,4.15,9.79
KEDAH,P.010,KUALA KEDAH,2486,UMNO,DATO DR MASHITAH BINTI IBRAHIM,FEMALE,58,12.43,PKR,DR AZMAN ISMAIL,MALE,60,16.49,PAS,DR. AHMAD FAKHRUDDIN,MALE,51,57.00,PEJUANG,ULYA HUSAMUDIN,MALE,31,1.97,,,,,,,,,,,WARISAN,PAK TUAN AL IDRUS,MALE,48,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.42,8.57
KEDAH,P.011,PENDANG,1956,UMNO,SURAYA BINTI YAACOB,FEMALE,53,20.86,PKR,DATO ZUL,MALE,52,6.39,PAS,DATUK HAJI AWANG SOLAHUDIN,MALE,58,61.96,GB,RASHID YOB,MALE,43,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,6.90
KEDAH,P.012,JERAI,2104,UMNO,DATO SERI DR. JAMIL KHIR BAHAROM,MALE,61,18.01,DAP,ZULHAZMI BIN SHARIFF,MALE,47,8.98,PAS,USTAZ SABRI BIN AZIT,MALE,56,60.93,GB,DATUK NIZAM MAHSHAR,MALE,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95,7.65
KEDAH,P.013,SIK,1179,UMNO,MAIZA,FEMALE,51,18.07,PAN,DATO' LATIFAH,FEMALE,,4.33,PAS,AHMAD TARMIZI SULAIMAN,MALE,46,64.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36,6.87
KEDAH,P.014,MERBOK,3414,UMNO,DATO' SHAIFUL HAZIZY,MALE,46,19.19,PKR,NURIN AINA,FEMALE,46,16.55,PPBM,MOHD NAZRI,MALE,52,48.48,IMAN,DATUK MOSIN RAZAK,MALE,,1.08,,,,,,,,,,,WARISAN,KHAIRUL ANUAR,MALE,50,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.38,5.86
KEDAH,P.015,SUNGAI PETANI,2851,UMNO,DATO' SHAHANIM BINTI MOHAMAD YUSOFF,FEMALE,49,23.15,PKR,DR. TAUFIQ BIN DATO' JOHARI,MALE,26,25.18,PPBM,DR. ROBERT LING,MALE,,32.30,PEJUANG,HJ. MARZUKI YAHYA,MALE,52,2.39,,,,,,,,,,,,,,,,PRM,TAN JOON LONG @ TAN CHOW KANG,MALE,80,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,8.80
KEDAH,P.016,BALING,2599,UMNO,DATUK AZEEZ RAHIM,MALE,56,26.59,PAN,CIKGU JOHARI ABDULLAH,MALE,69,6.08,PAS,USTAZ HASSAN,MALE,65,53.64,PUTRA,LT KOL (B) BASIR,MALE,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,5.62
